table_name,date_column,approx_rows,earliest,latest
np4_197_m_rtm_price_corrections,content_date,23671040,2026-01-10,2026-01-26
np4_442_cd_hourly_system_wide_and_regional_wind_for,deliverydate,15967159,2026-06-29,2026-09-07
np4_213_cd_hourly_ruc_ancillary_service_demand_curv,deliverydate,9503592,2026-08-27,2026-09-01
np4_443_cd_hourly_system_wide_and_regional_solar_fo,deliverydate,6599061,2026-06-29,2026-07-29
np3_765_cd_approved_dc_tie_schedules,content_date,3525856,2026-07-01,2026-09-08
np1_301_60_day_cop_adjustment_period_snapshot,content_date,3239119,2026-05-02,2026-07-03
np3_565_cd_seven_day_load_forecast_by_model_and_wea,deliverydate,2208046,2026-07-01,2026-09-08
np3_908_er_2_day_sced_energy_curves,content_date,2158119,2026-06-29,2026-08-26
np4_190_cd_dam_settlement_point_prices,deliverydate,1678795,2026-07-02,2026-09-02
np4_19_cd_dam_aggregated_ancillary_service_offer_c,deliverydate,1665572,2026-07-02,2026-09-02
np4_158_sg_dam_electrically_similar_settlement_poin,updatetime,1459907,2026-07-01,2026-09-01
np4_192_cd_dam_total_energy_purchased,deliverydate,1449182,2026-07-02,2026-09-02
np4_159_cd_load_distribution_factors,content_date,1404973,2026-08-15,2026-08-21
np4_183_cd_dam_hourly_lmps,deliverydate,1387062,2026-08-01,2026-08-29
np6_787_cd_lmps_by_electrical_bus,content_date,1370105,2026-08-28,2026-08-30
np3_991_ex_60_day_cop_all_updates,content_date,1367451,2026-07-02,2026-07-02
np3_916_ex_3_day_highest_price_offered_in_sced,content_date,1366804,2026-06-28,2026-08-29
np4_194_cd_dam_ptp_obligation_results_by_settlement,deliverydate,1295642,2026-07-02,2026-09-01
np4_193_cd_dam_total_energy_sold,deliverydate,1174952,2026-07-02,2026-09-02
np3_566_cd_seven_day_load_forecast_by_model_and_stu,deliverydate,1132011,2026-07-01,2026-09-08
np4_215_cd_weekly_ruc_ancillary_service_demand_curv,content_date,746417,2026-08-30,2026-09-06
np4_212_cd_dam_and_sced_ancillary_service_demand_cu,deliverydate,553343,2026-08-01,2026-08-29
np4_214_cd_daily_ruc_ancillary_service_demand_curve,deliverydate,524117,2026-08-28,2026-09-01
np7_464_cd_day_ahead_point_to_point_option_price_re,deliverydate,477737,2026-08-01,2026-08-29
np3_965_er_60_day_sced_disclosure_reports,content_date,455330,2026-05-02,2026-07-03
np3_906_ex_2_day_sced_ancillary_service_disclosure,content_date,289489,2026-08-26,2026-08-30
np3_561_cd_seven_day_load_forecast_by_weather_zone,deliverydate,285187,2026-07-01,2026-09-08
np1_302_ancillary_service_obligations_report,content_date,281260,2026-01-02,2026-03-05
np3_233_cd_hourly_resource_outage_capacity,date,278051,2026-06-30,2026-09-08
np4_231_cd_electrical_bus_mapping_for_heuristic_pri,content_date,248271,2026-07-31,2026-08-31
np3_162_cd_available_resource_planned_outage_capaci,operatingdate,248084,2026-06-30,2026-09-08
np3_763_cd_short_term_system_adequacy_report,deliverydate,245608,2026-07-01,2026-09-07
np3_914_ex_3_day_sced_highest_price_as_offer_select,content_date,233272,2026-08-25,2026-08-29
np3_161_cd_available_resource_planned_outage_capaci,operatingdate,225882,2026-07-08,2031-09-01
np3_987_ex_7_day_event_trigger_posting,content_date,95057,2026-06-24,2026-08-25
gen_55_cd_hourly_real_time_load_vs_actual_report,deliverydate,87017,2026-06-30,2026-09-02
np6_905_cd_settlement_point_prices_at_resource_node,content_date,80977,2026-08-28,2026-08-30
np6_788_cd_lmps_by_resource_nodes_load_zones_and_tr,content_date,80246,2026-08-28,2026-08-30
np3_915_ex_3_day_dam_highest_price_as_offer_selecte,content_date,69215,2026-07-01,2026-09-01
np4_191_cd_dam_shadow_prices,deliverydate,68140,2026-07-02,2026-09-02
np4_196_m_dam_price_corrections,content_date,63355,2025-12-06,2025-12-06
np4_33_cd_dam_ancillary_service_plan,deliverydate,52127,2026-07-01,2026-09-06
np3_966_er_60_day_dam_disclosure_reports,content_date,37440,2026-05-02,2026-07-03
np6_326_cd_real_time_price_for_sog,content_date,32634,2026-08-28,2026-08-30
np6_327_cd_lmp_by_sog_including_price_adders,content_date,32481,2026-08-28,2026-08-30
